date,issues
2012-08-03,2
2012-08-04,3
2012-08-05,1
2012-08-06,2
2012-08-07,2
2012-08-08,1
2012-08-09,2
2012-08-10,3
2012-08-11,1
2012-08-12,3
2012-08-13,3
2012-08-15,4
2012-08-16,4
2012-08-17,2
2012-08-18,1
2012-08-20,4
2012-08-21,2
2012-08-24,1
2012-08-26,2
2012-08-28,1
2012-08-30,1
2012-08-31,3
2012-09-01,2
2012-09-03,1
2012-09-05,4
2012-09-07,3
2012-09-09,1
2012-09-13,1
2012-09-15,2
2012-09-17,2
2012-09-18,4
2012-09-19,1
2012-09-20,2
2012-09-21,2
2012-09-23,2
2012-09-24,1
2012-09-25,1
2012-09-26,2
2012-09-28,5
2012-09-29,1
2012-09-30,2
2012-10-01,3
2012-10-02,1
2012-10-03,1
2012-10-04,5
2012-10-05,5
2012-10-06,1
2012-10-07,3
2012-10-08,1
2012-10-13,2
2012-10-15,1
2012-10-16,1
2012-10-17,1
2012-10-18,2
2012-10-19,1
2012-10-20,4
2012-10-22,2
2012-10-23,1
2012-10-24,2
2012-10-25,1
2012-10-27,1
2012-10-30,1
2012-10-31,4
2012-11-02,1
2012-11-05,1
2012-11-06,3
2012-11-08,1
2012-11-09,1
2012-11-10,4
2012-11-12,2
2012-11-13,5
2012-11-14,2
2012-11-15,3
2012-11-16,2
2012-11-18,3
2012-11-19,8
2012-11-20,4
2012-11-21,3
2012-11-23,1
2012-11-24,1
2012-11-25,1
2012-11-26,1
2012-11-27,2
2012-11-28,4
2012-11-29,4
2012-11-30,2
2012-12-03,2
2012-12-04,3
2012-12-05,3
2012-12-06,2
2012-12-07,3
2012-12-08,2
2012-12-09,2
2012-12-10,3
2012-12-11,3
2012-12-12,3
2012-12-13,2
2012-12-14,1
2012-12-15,2
2012-12-16,1
2012-12-17,2
2012-12-18,3
2012-12-20,1
2012-12-21,1
2012-12-22,1
2012-12-23,1
2012-12-25,1
2012-12-27,3
2012-12-28,1
2012-12-29,2
2012-12-31,2
2013-01-01,2
2013-01-03,1
2013-01-04,2
2013-01-05,2
2013-01-06,1
2013-01-07,3
2013-01-08,3
2013-01-09,4
2013-01-10,2
2013-01-12,1
2013-01-13,1
2013-01-14,1
2013-01-15,3
2013-01-16,1
2013-01-17,2
2013-01-19,3
2013-01-20,1
2013-01-22,3
2013-01-23,4
2013-01-24,2
2013-01-26,3
2013-01-27,2
2013-01-28,1
2013-01-29,2
2013-01-30,6
2013-01-31,3
2013-02-01,7
2013-02-02,2
2013-02-05,3
2013-02-06,10
2013-02-07,1
2013-02-09,2
2013-02-10,2
2013-02-11,3
2013-02-13,1
2013-02-14,2
2013-02-15,1
2013-02-16,2
2013-02-18,1
2013-02-19,5
2013-02-20,2
2013-02-21,3
2013-02-22,2
2013-02-23,1
2013-02-25,1
2013-02-26,1
2013-02-27,3
2013-03-01,5
2013-03-02,5
2013-03-03,5
2013-03-04,3
2013-03-05,1
2013-03-06,4
2013-03-07,3
2013-03-08,4
2013-03-09,1
2013-03-10,1
2013-03-11,4
2013-03-12,2
2013-03-13,3
2013-03-14,3
2013-03-16,3
2013-03-17,1
2013-03-18,1
2013-03-19,1
2013-03-20,2
2013-03-21,4
2013-03-22,2
2013-03-23,1
2013-03-24,2
2013-03-25,1
2013-03-26,3
2013-03-27,2
2013-03-28,5
2013-03-29,3
2013-03-30,2
2013-03-31,4
2013-04-02,1
2013-04-03,1
2013-04-04,2
2013-04-05,2
2013-04-08,1
2013-04-11,7
2013-04-12,1
2013-04-13,2
2013-04-15,3
2013-04-16,2
2013-04-17,1
2013-04-19,6
2013-04-20,1
2013-04-21,1
2013-04-25,3
2013-04-26,1
2013-04-29,1
2013-04-30,5
2013-05-01,1
2013-05-02,2
2013-05-03,2
2013-05-04,2
2013-05-05,3
2013-05-07,3
2013-05-08,2
2013-05-09,2
2013-05-10,1
2013-05-13,2
2013-05-14,2
2013-05-15,5
2013-05-16,1
2013-05-17,3
2013-05-18,1
2013-05-19,2
2013-05-20,5
2013-05-21,1
2013-05-22,1
2013-05-23,1
2013-05-24,5
2013-05-25,1
2013-05-26,2
2013-05-27,1
2013-05-28,5
2013-05-29,4
2013-05-30,3
2013-05-31,4
2013-06-02,1
2013-06-03,1
2013-06-04,4
2013-06-06,1
2013-06-07,2
2013-06-08,2
2013-06-09,1
2013-06-10,3
2013-06-11,7
2013-06-13,1
2013-06-14,9
2013-06-15,1
2013-06-17,1
2013-06-18,1
2013-06-19,3
2013-06-20,5
2013-06-21,3
2013-06-22,1
2013-06-23,2
2013-06-24,1
2013-06-25,2
2013-06-26,2
2013-06-27,2
2013-06-28,2
2013-06-29,4
2013-06-30,3
2013-07-01,1
2013-07-02,3
2013-07-03,2
2013-07-04,6
2013-07-05,2
2013-07-06,2
2013-07-07,4
2013-07-08,1
2013-07-09,3
2013-07-10,7
2013-07-11,2
2013-07-12,4
2013-07-13,2
2013-07-14,1
2013-07-15,3
2013-07-16,1
2013-07-18,9
2013-07-19,4
2013-07-20,1
2013-07-21,2
2013-07-22,3
2013-07-23,2
2013-07-24,4
2013-07-25,1
2013-07-29,4
2013-07-30,1
2013-07-31,2
2013-08-02,3
2013-08-04,1
2013-08-05,2
2013-08-06,2
2013-08-07,5
2013-08-08,2
2013-08-09,1
2013-08-10,2
2013-08-11,1
2013-08-12,4
2013-08-13,3
2013-08-14,3
2013-08-15,2
2013-08-16,2
2013-08-17,1
2013-08-18,2
2013-08-19,1
2013-08-21,6
2013-08-22,5
2013-08-23,7
2013-08-25,2
2013-08-26,1
2013-08-27,3
2013-08-28,2
2013-08-30,4
2013-08-31,1
2013-09-02,4
2013-09-04,2
2013-09-05,3
2013-09-06,1
2013-09-08,1
2013-09-09,5
2013-09-10,4
2013-09-12,3
2013-09-13,1
2013-09-14,2
2013-09-16,1
2013-09-17,1
2013-09-19,5
2013-09-21,3
2013-09-22,1
2013-09-23,2
2013-09-24,4
2013-09-25,4
2013-09-26,4
2013-09-27,1
2013-10-01,4
2013-10-02,2
2013-10-03,1
2013-10-05,3
2013-10-06,1
2013-10-07,4
2013-10-08,4
2013-10-09,5
2013-10-11,8
2013-10-12,1
2013-10-15,1
2013-10-16,2
2013-10-17,2
2013-10-18,2
2013-10-21,1
2013-10-22,6
2013-10-24,1
2013-10-25,2
2013-10-26,2
2013-10-28,2
2013-10-29,2
2013-10-30,2
2013-10-31,2
2013-11-01,2
2013-11-04,1
2013-11-06,1
2013-11-07,3
2013-11-08,2
2013-11-09,1
2013-11-10,1
2013-11-11,3
2013-11-12,1
2013-11-13,3
2013-11-14,1
2013-11-15,2
2013-11-17,4
2013-11-18,3
2013-11-20,3
2013-11-21,1
2013-11-22,1
2013-11-23,3
2013-11-24,1
2013-11-25,1
2013-11-29,2
2013-12-03,2
2013-12-04,2
2013-12-05,3
2013-12-07,1
2013-12-09,1
2013-12-11,2
2013-12-13,2
2013-12-16,4
2013-12-17,2
2013-12-20,2
2013-12-21,1
2013-12-24,1
2013-12-25,1
2013-12-26,1
2013-12-28,1
2013-12-30,1
2013-12-31,1
2014-01-02,1
2014-01-03,2
2014-01-06,2
2014-01-07,1
2014-01-08,1
2014-01-09,2
2014-01-10,5
2014-01-12,1
2014-01-13,1
2014-01-15,3
2014-01-16,1
2014-01-17,1
2014-01-18,1
2014-01-20,1
2014-01-21,3
2014-01-23,2
2014-01-24,1
2014-01-25,2
2014-01-27,1
2014-01-28,1
2014-01-31,3
2014-02-01,3
2014-02-02,1
2014-02-03,1
2014-02-04,4
2014-02-05,1
2014-02-06,1
2014-02-07,1
2014-02-08,1
2014-02-09,2
2014-02-10,1
2014-02-11,4
2014-02-12,4
2014-02-13,2
2014-02-14,1
2014-02-15,1
2014-02-17,2
2014-02-19,1
2014-02-21,1
2014-02-22,1
2014-02-23,2
2014-02-25,3
2014-02-26,1
2014-02-27,4
2014-02-28,2
2014-03-01,1
2014-03-04,3
2014-03-05,1
2014-03-06,1
2014-03-07,2
2014-03-09,1
2014-03-10,1
2014-03-11,2
2014-03-12,1
2014-03-13,1
2014-03-14,3
2014-03-16,1
2014-03-17,3
2014-03-18,5
2014-03-19,8
2014-03-20,4
2014-03-21,1
2014-03-22,3
2014-03-23,3
2014-03-24,3
2014-03-25,1
2014-03-26,3
2014-03-27,2
2014-03-29,1
2014-03-30,1
2014-04-01,1
2014-04-02,3
2014-04-03,1
2014-04-04,2
2014-04-05,3
2014-04-06,3
2014-04-07,3
2014-04-08,2
2014-04-10,3
2014-04-11,4
2014-04-14,2
2014-04-15,2
2014-04-17,2
2014-04-18,1
2014-04-19,1
2014-04-20,1
2014-04-22,1
2014-04-23,1
2014-04-25,1
2014-04-28,2
2014-04-29,1
2014-04-30,1
2014-05-05,2
2014-05-07,1
2014-05-09,2
2014-05-10,1
2014-05-11,1
2014-05-12,1
2014-05-13,5
2014-05-15,2
2014-05-18,1
2014-05-19,5
2014-05-21,2
2014-05-22,1
2014-05-23,3
2014-05-25,1
2014-05-26,1
2014-05-28,3
2014-05-29,2
2014-05-30,2
2014-06-04,3
2014-06-05,1
2014-06-06,1
2014-06-08,2
2014-06-09,2
2014-06-10,1
2014-06-11,3
2014-06-12,3
2014-06-16,2
2014-06-17,1
2014-06-19,1
2014-06-20,2
2014-06-23,1
2014-06-24,3
2014-06-25,1
2014-06-26,1
2014-06-27,1
2014-06-30,2
2014-07-01,2
2014-07-02,2
2014-07-04,1
2014-07-07,3
2014-07-08,1
2014-07-09,2
2014-07-10,1
2014-07-12,1
2014-07-13,1
2014-07-16,1
2014-07-17,2
2014-07-18,3
2014-07-22,1
2014-07-23,3
2014-07-28,1
2014-07-29,5
2014-07-30,1
2014-07-31,1
2014-08-01,1
2014-08-03,1
2014-08-05,1
2014-08-06,5
2014-08-07,2
2014-08-08,3
2014-08-11,2
2014-08-12,3
2014-08-13,3
2014-08-14,2
2014-08-15,1
2014-08-18,1
2014-08-19,1
2014-08-21,1
2014-08-22,1
2014-08-24,1
2014-08-25,1
2014-08-26,3
2014-08-27,5
2014-08-28,6
2014-08-29,1
2014-08-30,1
2014-09-04,1
2014-09-05,1
2014-09-08,3
2014-09-09,2
2014-09-10,2
2014-09-11,2
2014-09-12,3
2014-09-16,2
2014-09-17,3
2014-09-18,2
2014-09-20,1
2014-09-21,1
2014-09-22,1
2014-09-24,2
2014-09-25,3
2014-09-26,2
2014-09-29,4
2014-10-02,1
2014-10-03,4
2014-10-05,1
2014-10-06,2
2014-10-07,1
2014-10-08,2
2014-10-09,2
2014-10-10,5
2014-10-13,3
2014-10-14,2
2014-10-16,7
2014-10-17,4
2014-10-18,1
2014-10-20,2
2014-10-21,3
2014-10-22,1
2014-10-23,4
2014-10-24,2
2014-10-26,2
2014-10-27,1
2014-10-28,1
2014-10-29,1
2014-10-30,3
2014-10-31,2
2014-11-02,1
2014-11-04,2
2014-11-05,1
2014-11-06,2
2014-11-07,1
2014-11-10,3
2014-11-11,1
2014-11-12,2
2014-11-13,3
2014-11-14,3
2014-11-16,2
2014-11-17,2
2014-11-18,1
2014-11-21,1
2014-11-22,1
2014-11-23,1
2014-11-24,1
2014-11-25,3
2014-11-26,1
2014-11-27,1
2014-12-02,1
2014-12-03,1
2014-12-04,2
2014-12-06,1
2014-12-08,8
2014-12-09,3
2014-12-10,3
2014-12-11,3
2014-12-12,1
2014-12-15,3
2014-12-18,1
2014-12-19,1
2014-12-22,7
2014-12-23,3
2014-12-27,1
2014-12-29,2
2014-12-30,1
2014-12-31,1
2015-01-01,1
2015-01-03,1
2015-01-04,1
2015-01-06,1
2015-01-07,2
2015-01-08,1
2015-01-09,1
2015-01-11,1
2015-01-12,3
2015-01-13,5
2015-01-14,2
2015-01-16,1
2015-01-19,2
2015-01-20,3
2015-01-22,2
2015-01-23,3
2015-01-25,1
2015-01-26,1
2015-01-27,1
2015-01-28,2
2015-01-29,5
2015-01-31,1
2015-02-02,1
2015-02-03,2
2015-02-05,2
2015-02-06,3
