date,issues
2016-10-29,13
2016-10-30,11
2016-10-31,21
2016-11-01,26
2016-11-02,26
2016-11-03,25
2016-11-04,17
2016-11-05,14
2016-11-06,14
2016-11-07,30
2016-11-08,21
2016-11-09,21
2016-11-10,26
2016-11-11,27
2016-11-12,8
2016-11-13,21
2016-11-14,16
2016-11-15,28
2016-11-16,21
2016-11-17,27
2016-11-18,25
2016-11-19,17
2016-11-20,16
2016-11-21,27
2016-11-22,29
2016-11-23,25
2016-11-24,18
2016-11-25,32
2016-11-26,6
2016-11-27,15
2016-11-28,29
2016-11-29,39
2016-11-30,36
2016-12-01,37
2016-12-02,19
2016-12-03,9
2016-12-04,10
2016-12-05,35
2016-12-06,29
2016-12-07,39
2016-12-08,27
2016-12-09,29
2016-12-10,18
2016-12-11,11
2016-12-12,12
2016-12-13,25
2016-12-14,27
2016-12-15,20
2016-12-16,24
2016-12-17,11
2016-12-18,9
2016-12-19,19
2016-12-20,21
2016-12-21,18
2016-12-22,17
2016-12-23,16
2016-12-24,9
2016-12-25,3
2016-12-26,17
2016-12-27,20
2016-12-28,16
2016-12-29,24
2016-12-30,8
2016-12-31,9
2017-01-01,10
2017-01-02,11
2017-01-03,14
2017-01-04,25
2017-01-05,30
2017-01-06,28
2017-01-07,11
2017-01-08,13
2017-01-09,21
2017-01-10,27
2017-01-11,20
2017-01-12,19
2017-01-13,27
2017-01-14,10
2017-01-15,12
2017-01-16,22
2017-01-17,27
2017-01-18,29
2017-01-19,17
2017-01-20,26
2017-01-21,13
2017-01-22,8
2017-01-23,18
2017-01-24,23
2017-01-25,33
2017-01-26,20
2017-01-27,18
2017-01-28,8
2017-01-29,9
2017-01-30,16
2017-01-31,18
2017-02-01,28
2017-02-02,34
2017-02-03,22
2017-02-04,9
2017-02-05,12
2017-02-06,32
2017-02-07,37
2017-02-08,23
2017-02-09,32
2017-02-10,25
2017-02-11,19
2017-02-12,10
2017-02-13,25
2017-02-14,31
2017-02-15,33
2017-02-16,53
2017-02-17,43
2017-02-18,17
2017-02-19,21
2017-02-20,37
2017-02-21,38
2017-02-22,48
2017-02-23,30
2017-02-24,37
2017-02-25,20
2017-02-26,18
2017-02-27,26
2017-02-28,20
2017-03-01,36
2017-03-02,49
2017-03-03,29
2017-03-04,21
2017-03-05,19
2017-03-06,39
2017-03-07,34
2017-03-08,42
2017-03-09,32
2017-03-10,35
2017-03-11,24
2017-03-12,19
2017-03-13,40
2017-03-14,40
2017-03-15,39
2017-03-16,30
2017-03-17,32
2017-03-18,11
2017-03-19,20
2017-03-20,25
2017-03-21,37
2017-03-22,33
2017-03-23,34
2017-03-24,30
2017-03-25,16
2017-03-26,12
2017-03-27,32
2017-03-28,23
2017-03-29,37
2017-03-30,31
2017-03-31,31
2017-04-01,14
2017-04-02,11
2017-04-03,27
2017-04-04,25
2017-04-05,37
2017-04-06,31
2017-04-07,26
2017-04-08,12
2017-04-09,19
2017-04-10,29
2017-04-11,31
2017-04-12,24
2017-04-13,31
2017-04-14,22
2017-04-15,14
2017-04-16,12
2017-04-17,25
2017-04-18,17
2017-04-19,22
2017-04-20,32
2017-04-21,25
2017-04-22,11
2017-04-23,10
2017-04-24,27
2017-04-25,26
2017-04-26,19
2017-04-27,35
2017-04-28,23
2017-04-29,20
2017-04-30,11
2017-05-01,22
2017-05-02,23
2017-05-03,42
2017-05-04,27
2017-05-05,36
2017-05-06,23
2017-05-07,11
2017-05-08,29
2017-05-09,30
2017-05-10,17
2017-05-11,27
2017-05-12,23
2017-05-13,12
2017-05-14,18
2017-05-15,23
2017-05-16,24
2017-05-17,38
2017-05-18,31
