date,issues
2021-11-22,1
2021-11-23,2
2021-11-24,3
2021-11-25,3
2021-11-29,1
2021-11-30,1
2021-12-01,1
2021-12-03,1
2021-12-06,1
2021-12-07,1
2021-12-15,1
2021-12-19,2
2021-12-20,2
2021-12-22,2
2021-12-23,2
2021-12-24,1
2021-12-28,1
2021-12-31,1
2022-01-04,1
2022-01-07,1
2022-01-09,2
2022-01-11,1
2022-01-12,2
2022-01-13,2
2022-01-14,4
2022-01-17,4
2022-01-24,1
2022-01-25,1
2022-01-26,1
2022-01-27,1
2022-01-28,1
2022-01-29,1
2022-01-31,1
2022-02-02,1
2022-02-08,3
2022-02-09,3
2022-02-11,1
2022-02-12,1
2022-02-14,1
2022-02-17,1
2022-02-20,1
2022-02-21,3
2022-02-22,1
2022-02-23,6
2022-02-24,4
2022-02-25,2
2022-03-01,1
2022-03-02,1
2022-03-05,1
2022-03-06,1
2022-03-08,1
2022-03-15,1
2022-03-16,1
2022-03-17,2
2022-03-21,1
2022-03-22,4
2022-03-23,5
2022-03-24,1
2022-03-25,1
2022-03-28,1
2022-03-29,3
2022-03-31,8
2022-04-02,4
2022-04-03,1
2022-04-04,1
2022-04-06,3
2022-04-08,2
2022-04-12,1
2022-04-13,1
2022-04-15,2
2022-04-18,3
2022-04-19,2
2022-04-20,1
2022-04-22,3
2022-04-24,3
2022-04-25,1
2022-04-27,1
2022-04-28,2
2022-04-29,4
2022-05-01,1
2022-05-05,2
2022-05-06,8
2022-05-07,4
2022-05-09,3
2022-05-10,4
2022-05-11,2
2022-05-13,1
2022-05-16,2
2022-05-17,2
2022-05-18,4
2022-05-19,6
2022-05-20,2
2022-05-23,3
2022-05-24,1
2022-05-25,1
2022-05-26,1
2022-06-01,2
2022-06-03,1
2022-06-07,2
2022-06-09,1
2022-06-10,3
2022-06-13,2
2022-06-15,2
2022-06-16,4
2022-06-17,2
2022-06-21,2
2022-06-22,3
2022-06-23,5
2022-06-24,2
2022-06-27,2
2022-06-28,3
2022-06-29,2
2022-07-01,1
2022-07-04,2
2022-07-05,1
2022-07-06,1
2022-07-07,3
2022-07-08,1
2022-07-13,1
2022-07-14,3
2022-07-15,2
2022-07-22,1
2022-07-23,2
2022-07-28,1
2022-07-29,7
2022-08-01,1
2022-08-04,3
2022-08-05,4
2022-08-08,2
2022-08-09,2
2022-08-10,3
2022-08-11,2
2022-08-12,2
2022-08-15,4
2022-08-16,5
2022-08-17,2
2022-08-18,1
2022-08-23,5
2022-08-24,1
2022-08-26,2
2022-08-28,1
2022-08-30,3
2022-08-31,3
2022-09-01,3
2022-09-02,1
2022-09-07,3
2022-09-08,4
2022-09-09,1
2022-09-10,1
2022-09-11,1
2022-09-13,1
2022-09-16,2
2022-09-19,1
2022-09-21,1
2022-09-22,2
2022-09-23,5
2022-09-24,1
2022-09-26,2
2022-09-27,5
2022-09-28,2
2022-09-29,2
2022-09-30,6
2022-10-06,3
2022-10-09,2
2022-10-10,1
2022-10-11,3
2022-10-14,2
2022-10-17,2
2022-10-18,3
2022-10-19,5
2022-10-20,7
2022-10-21,3
2022-10-24,3
2022-10-25,2
2022-10-26,2
2022-10-28,1
2022-10-31,1
2022-11-01,2
2022-11-02,1
2022-11-07,1
2022-11-08,1
2022-11-09,1
2022-11-10,1
2022-11-11,1
2022-11-14,1
2022-11-15,1
2022-11-17,4
2022-11-18,2
2022-11-21,7
2022-11-22,1
2022-11-23,1
2022-11-24,5
2022-11-29,2
2022-12-06,3
2022-12-07,3
2022-12-09,1
2022-12-12,2
2023-01-01,1
2023-01-02,1
2023-01-03,2
2023-01-04,1
2023-01-05,2
2023-01-06,1
2023-01-09,1
2023-01-11,2
2023-01-16,3
2023-01-17,1
2023-01-18,1
2023-01-19,2
2023-01-31,2
2023-02-01,1
2023-02-02,6
2023-02-03,3
2023-02-07,6
2023-02-08,2
2023-02-09,3
2023-02-10,1
2023-02-13,3
2023-02-14,6
2023-02-15,1
2023-02-16,2
2023-02-20,1
2023-02-22,3
2023-02-23,1
2023-02-24,2
2023-03-01,4
2023-03-03,1
2023-03-06,1
2023-03-07,3
2023-03-08,2
2023-03-13,1
2023-03-14,1
2023-03-15,1
2023-03-17,1
2023-03-20,1
2023-03-21,1
2023-03-23,2
2023-03-24,2
2023-03-26,2
2023-03-29,4
2023-03-30,1
2023-04-03,2
2023-04-04,1
2023-04-05,1
2023-04-06,2
2023-04-11,1
2023-04-12,3
2023-04-13,4
2023-04-14,4
2023-04-16,2
2023-04-17,4
2023-04-18,1
2023-04-19,5
2023-04-20,7
2023-04-21,4
2023-04-23,7
2023-04-24,1
2023-04-25,3
2023-04-26,4
2023-04-27,7
2023-04-28,2
2023-05-04,3
2023-05-05,2
2023-05-06,3
2023-05-08,2
2023-05-09,1
2023-05-10,2
2023-05-11,7
2023-05-12,2
2023-05-15,1
2023-05-16,3
2023-05-17,9
2023-05-18,3
2023-05-19,2
2023-05-22,3
2023-05-23,2
2023-05-24,4
2023-05-25,5
2023-05-28,1
2023-05-29,14
2023-05-30,16
2023-05-31,10
2023-06-01,10
2023-06-02,4
2023-06-05,3
2023-06-07,2
2023-06-08,3
2023-06-09,3
2023-06-11,1
2023-06-12,1
2023-06-13,1
2023-06-14,5
2023-06-15,3
2023-06-16,6
2023-06-19,1
2023-06-20,5
2023-06-21,1
2023-06-22,1
2023-06-25,1
2023-06-26,4
2023-06-27,1
2023-06-28,5
2023-06-29,1
2023-06-30,3
2023-07-04,2
2023-07-07,1
2023-07-10,3
2023-07-11,2
2023-07-12,5
2023-07-13,6
2023-07-14,1
2023-07-17,9
2023-07-18,4
2023-07-19,3
2023-07-20,1
2023-07-21,1
2023-07-24,9
2023-07-25,4
2023-07-26,2
2023-07-27,3
2023-07-31,4
2023-08-01,2
2023-08-02,4
2023-08-03,3
2023-08-06,1
2023-08-07,4
2023-08-10,2
2023-08-15,2
2023-08-16,3
2023-08-18,1
2023-08-19,1
2023-08-21,1
2023-08-22,4
2023-08-23,5
2023-08-25,1
2023-08-30,1
2023-08-31,1
2023-09-01,3
2023-09-05,4
2023-09-06,1
2023-09-07,5
2023-09-08,6
2023-09-09,1
2023-09-11,1
2023-09-12,4
2023-09-13,1
2023-09-14,4
2023-09-15,10
2023-09-16,1
2023-09-17,1
2023-09-18,2
2023-09-19,2
2023-09-21,5
2023-09-22,4
2023-09-24,1
2023-09-25,1
2023-09-26,2
2023-09-29,1
2023-10-03,1
2023-10-05,1
2023-10-08,1
2023-10-09,1
2023-10-11,2
2023-10-12,1
2023-10-13,2
2023-10-16,3
2023-10-18,6
2023-10-19,3
2023-10-20,1
2023-10-23,3
2023-10-24,2
2023-10-25,6
2023-10-26,1
2023-10-30,5
2023-10-31,4
2023-11-01,3
2023-11-03,1
2023-11-08,4
2023-11-09,1
2023-11-10,3
2023-11-11,1
2023-11-13,2
2023-11-14,2
2023-11-15,5
2023-11-16,1
2023-11-17,1
2023-11-20,2
